city_or_municipality,barangay,basic_education,households_magnitude,households_proportion,households_total,population_male_magnitude,population_female_magnitude,population_total_magnitude,population_male_proportion,population_female_proportion
Josefina,Leonardo,children 6-16 years old not attending school,25,35.2,39,24,15,26,32,20
Josefina,Litapan,children 6-12 years old not attending elementary,9,22,12,7,5,17.6,21.2,14.3
Josefina,Litapan,children 13-16 years old not attending high school,15,68.2,17,10,7,53.1,58.8,46.7
Josefina,Litapan,children 6-16 years old not attending school,10,22.2,13,8,5,13,16,10
Josefina,Lower Bagong Tudela,children 6-12 years old not attending elementary,9,42.9,10,5,5,25,31.3,20.8
Josefina,Lower Bagong Tudela,children 13-16 years old not attending high school,7,29.2,9,6,3,29,42.9,17.6
Josefina,Lower Bagong Tudela,children 6-16 years old not attending school,7,21.9,9,6,3,12.7,20,7.3
Josefina,Mansanas,children 6-12 years old not attending elementary,22,31.4,26,18,8,21.8,25.4,16.7
Josefina,Mansanas,children 13-16 years old not attending high school,30,56.6,37,22,15,49.3,55,42.9
Josefina,Mansanas,children 6-16 years old not attending school,20,23.3,25,15,10,12.9,13.5,12
Josefina,Moradji,children 6-12 years old not attending elementary,8,21.1,8,1,7,12.1,3,21.2
Josefina,Moradji,children 13-16 years old not attending high school,10,47.6,14,11,3,48.3,61.1,27.3
Josefina,Moradji,children 6-16 years old not attending school,9,19.6,13,8,5,13.7,15.7,11.4
Josefina,Nemeno,children 6-12 years old not attending elementary,5,16.1,5,3,2,8.9,14.3,5.7
Josefina,Nemeno,children 13-16 years old not attending high school,9,45,10,4,6,38.5,36.4,40
Josefina,Nemeno,children 6-16 years old not attending school,5,13.9,7,5,2,8.5,15.6,4
Josefina,Nopulan,children 6-12 years old not attending elementary,33,41.3,40,27,13,26.5,29.3,22
Josefina,Nopulan,children 13-16 years old not attending high school,37,71.2,45,24,21,62.5,64.9,60
Josefina,Nopulan,children 6-16 years old not attending school,41,41.4,54,35,19,24.2,27.1,20.2
Josefina,Sebukang,children 6-12 years old not attending elementary,7,21.2,10,8,2,15.4,28.6,5.4
Josefina,Sebukang,children 13-16 years old not attending high school,15,65.2,18,9,9,52.9,69.2,42.9
Josefina,Sebukang,children 6-16 years old not attending school,7,18.4,10,7,3,10.1,17.1,5.2
Josefina,Tagaytay Hill,children 6-12 years old not attending elementary,9,34.6,9,5,4,20.5,19.2,22.2
Josefina,Tagaytay Hill,children 13-16 years old not attending high school,11,57.9,14,9,5,58.3,69.2,45.5
Josefina,Tagaytay Hill,children 6-16 years old not attending school,7,21.9,10,5,5,14.7,12.8,17.2
Josefina,Gumahan Poblacion,children 6-12 years old not attending elementary,31,25,32,16,16,15.8,15.8,15.8
Josefina,Gumahan Poblacion,children 13-16 years old not attending high school,28,32.6,34,22,12,31.2,40,22.2
Josefina,Gumahan Poblacion,children 6-16 years old not attending school,8,5,10,7,3,3.2,4.5,1.9
Kumalarang,Bogayo,children 6-12 years old not attending elementary,33,27.5,39,19,20,19.7,19.4,20
Kumalarang,Bogayo,children 13-16 years old not attending high school,55,59.8,80,47,33,59.3,70.1,48.5
Kumalarang,Bogayo,children 6-16 years old not attending school,40,27.6,55,31,24,16.5,18.8,14.3
Kumalarang,Bolisong,children 6-12 years old not attending elementary,33,43.4,45,27,18,31.3,36.5,25.7
Kumalarang,Bolisong,children 13-16 years old not attending high school,50,79.4,64,40,24,77.1,90.9,61.5
Kumalarang,Bolisong,children 6-16 years old not attending school,39,44.3,61,41,20,26.9,34.7,18.3
Kumalarang,Bualan,children 6-12 years old not attending elementary,40,40.8,45,24,21,30.2,30,30.4
Kumalarang,Bualan,children 13-16 years old not attending high school,50,72.5,73,44,29,69.5,75.9,61.7
Kumalarang,Bualan,children 6-16 years old not attending school,20,17.1,38,20,18,15,14.5,15.5
Kumalarang,Boyugan East,children 6-12 years old not attending elementary,55,55.6,69,39,30,40.4,47.6,33.7
Kumalarang,Boyugan East,children 13-16 years old not attending high school,50,71.4,71,44,27,66.4,74.6,56.3
Kumalarang,Boyugan East,children 6-16 years old not attending school,45,39.8,68,35,33,24.5,24.8,24.1
Kumalarang,Boyugan West,children 6-12 years old not attending elementary,52,47.3,62,31,31,29.8,29,30.7
Kumalarang,Boyugan West,children 13-16 years old not attending high school,53,79.1,67,37,30,72.8,84.1,62.5
Kumalarang,Boyugan West,children 6-16 years old not attending school,53,42.1,74,41,33,24.7,27.2,22.1
Kumalarang,Diplo,children 6-12 years old not attending elementary,98,43.8,130,66,64,36.2,37.5,35
Kumalarang,Diplo,children 13-16 years old not attending high school,146,76,197,117,80,71.1,79.1,62
Kumalarang,Diplo,children 6-16 years old not attending school,130,44.5,212,106,106,33.3,32.7,34
Kumalarang,Gawil,children 6-12 years old not attending elementary,38,33.3,43,23,20,20.6,19.7,21.7
Kumalarang,Gawil,children 13-16 years old not attending high school,44,56.4,52,28,24,49.5,51.9,47.1
Kumalarang,Gawil,children 6-16 years old not attending school,39,29.8,49,31,18,15.6,18.1,12.6
Kumalarang,Gusom,children 6-12 years old not attending elementary,23,34.3,27,19,8,20.8,28.4,12.7
Kumalarang,Gusom,children 13-16 years old not attending high school,36,75,50,22,28,64.9,57.9,71.8
Kumalarang,Gusom,children 6-16 years old not attending school,22,28.6,29,16,13,14,15.2,12.7
Kumalarang,Kitaan Dagat,children 6-12 years old not attending elementary,45,56.3,55,25,30,34.8,33.8,35.7
Kumalarang,Kitaan Dagat,children 13-16 years old not attending high school,40,70.2,56,37,19,63.6,80.4,45.2
Kumalarang,Kitaan Dagat,children 6-16 years old not attending school,33,34.4,46,27,19,18.7,22.5,15.1
Kumalarang,Limamawan,children 6-12 years old not attending elementary,22,64.7,37,18,19,50.7,48.6,52.8
Kumalarang,Limamawan,children 13-16 years old not attending high school,29,93.5,44,18,26,89.8,94.7,86.7
Kumalarang,Limamawan,children 6-16 years old not attending school,24,63.2,45,22,23,36.9,39.3,34.8
Kumalarang,Mahayahay,children 6-12 years old not attending elementary,24,36.9,28,9,19,22.8,12.9,35.8
Kumalarang,Mahayahay,children 13-16 years old not attending high school,30,60,41,19,22,56.9,61.3,53.7
Kumalarang,Mahayahay,children 6-16 years old not attending school,22,27.2,25,9,16,12.8,8.9,17
Kumalarang,Pangi,children 6-12 years old not attending elementary,32,40.5,37,22,15,27.4,30.6,23.8
Kumalarang,Pangi,children 13-16 years old not attending high school,33,60,45,24,21,55.6,66.7,46.7
Kumalarang,Pangi,children 6-16 years old not attending school,32,36,45,22,23,20.8,20.4,21.3
Kumalarang,Poblacion,children 6-12 years old not attending elementary,183,36.1,236,122,114,26.5,25.7,27.5
Kumalarang,Poblacion,children 13-16 years old not attending high school,189,49.3,251,133,118,45.1,49.1,41.3
Kumalarang,Poblacion,children 6-16 years old not attending school,163,25.2,257,145,112,17.8,19.5,16
