city_or_municipality,barangay,basic_education,households_magnitude,households_proportion,households_total,population_male_magnitude,population_female_magnitude,population_total_magnitude,population_male_proportion,population_female_proportion
Bayog,Balumbunan,members 10 years old and above,75,100,292,160,132,76.4,79.2,73.3
Bayog,Balumbunan,members of the labor force,74,98.7,103,99,4,27,49,2.2
Bayog,Bantal,population,72,-,359,170,189,100,47.4,52.6
Bayog,Bantal,average household size,5,-,-,-,-,-,-,-
Bayog,Bantal,children 0-5 years old,43,59.7,67,28,39,18.7,16.5,20.6
Bayog,Bantal,children 6-12 years old,43,59.7,89,45,44,24.8,26.5,23.3
Bayog,Bantal,members 13-16 years old,28,38.9,40,18,22,11.1,10.6,11.6
Bayog,Bantal,members 6-16 years old,50,69.4,129,63,66,35.9,37.1,34.9
Bayog,Bantal,members 10 years old and above,72,100,238,115,123,66.3,67.6,65.1
Bayog,Bantal,members of the labor force,72,100,78,75,3,21.7,44.1,1.6
Bayog,Bobuan,population,204,-,1014,517,497,100,51,49
Bayog,Bobuan,average household size,5,-,-,-,-,-,-,-
Bayog,Bobuan,children 0-5 years old,95,46.6,137,66,71,13.5,12.8,14.3
Bayog,Bobuan,children 6-12 years old,124,60.8,230,115,115,22.7,22.2,23.1
Bayog,Bobuan,members 13-16 years old,92,45.1,125,70,55,12.3,13.5,11.1
Bayog,Bobuan,members 6-16 years old,150,73.5,355,185,170,35,35.8,34.2
Bayog,Bobuan,members 10 years old and above,203,99.5,756,385,371,74.6,74.5,74.6
Bayog,Bobuan,members of the labor force,193,94.6,247,225,22,24.4,43.5,4.4
Bayog,Camp Blessing,population,79,-,353,182,171,100,51.6,48.4
Bayog,Camp Blessing,average household size,4,-,-,-,-,-,-,-
Bayog,Camp Blessing,children 0-5 years old,32,40.5,41,18,23,11.6,9.9,13.5
Bayog,Camp Blessing,children 6-12 years old,44,55.7,75,48,27,21.2,26.4,15.8
Bayog,Camp Blessing,members 13-16 years old,31,39.2,44,18,26,12.5,9.9,15.2
Bayog,Camp Blessing,members 6-16 years old,55,69.6,119,66,53,33.7,36.3,31
Bayog,Camp Blessing,members 10 years old and above,79,100,269,132,137,76.2,72.5,80.1
Bayog,Camp Blessing,members of the labor force,77,97.5,93,80,13,26.3,44,7.6
Bayog,Canoayan,population,120,-,661,335,326,100,50.7,49.3
Bayog,Canoayan,average household size,6,-,-,-,-,-,-,-
Bayog,Canoayan,children 0-5 years old,65,54.2,112,53,59,16.9,15.8,18.1
Bayog,Canoayan,children 6-12 years old,73,60.8,140,64,76,21.2,19.1,23.3
Bayog,Canoayan,members 13-16 years old,55,45.8,75,39,36,11.3,11.6,11
Bayog,Canoayan,members 6-16 years old,85,70.8,215,103,112,32.5,30.7,34.4
Bayog,Canoayan,members 10 years old and above,120,100,472,246,226,71.4,73.4,69.3
Bayog,Canoayan,members of the labor force,118,98.3,165,156,9,25,46.6,2.8
Bayog,Conacon,population,101,-,507,257,250,100,50.7,49.3
Bayog,Conacon,average household size,5,-,-,-,-,-,-,-
Bayog,Conacon,children 0-5 years old,50,49.5,78,28,50,15.4,10.9,20
Bayog,Conacon,children 6-12 years old,53,52.5,115,60,55,22.7,23.3,22
Bayog,Conacon,members 13-16 years old,42,41.6,62,33,29,12.2,12.8,11.6
Bayog,Conacon,members 6-16 years old,65,64.4,177,93,84,34.9,36.2,33.6
Bayog,Conacon,members 10 years old and above,99,98,377,203,174,74.4,79,69.6
Bayog,Conacon,members of the labor force,97,96,154,119,35,30.4,46.3,14
Bayog,Dagum,population,46,-,232,121,111,100,52.2,47.8
Bayog,Dagum,average household size,5,-,-,-,-,-,-,-
Bayog,Dagum,children 0-5 years old,25,54.3,40,20,20,17.2,16.5,18
Bayog,Dagum,children 6-12 years old,26,56.5,49,27,22,21.1,22.3,19.8
Bayog,Dagum,members 13-16 years old,17,37,23,10,13,9.9,8.3,11.7
Bayog,Dagum,members 6-16 years old,31,67.4,72,37,35,31,30.6,31.5
Bayog,Dagum,members 10 years old and above,46,100,161,83,78,69.4,68.6,70.3
Bayog,Dagum,members of the labor force,42,91.3,57,53,4,24.6,43.8,3.6
Bayog,Damit,population,338,-,1687,870,817,100,51.6,48.4
Bayog,Damit,average household size,5,-,-,-,-,-,-,-
Bayog,Damit,children 0-5 years old,146,43.2,214,109,105,12.7,12.5,12.9
Bayog,Damit,children 6-12 years old,192,56.8,322,170,152,19.1,19.5,18.6
Bayog,Damit,members 13-16 years old,135,39.9,184,84,100,10.9,9.7,12.2
Bayog,Damit,members 6-16 years old,232,68.6,506,254,252,30,29.2,30.8
Bayog,Damit,members 10 years old and above,338,100,1300,671,629,77.1,77.1,77
Bayog,Damit,members of the labor force,323,95.6,452,387,65,26.8,44.5,8
Bayog,Datagan,population,123,-,655,360,295,100,55,45
Bayog,Datagan,average household size,5,-,-,-,-,-,-,-
Bayog,Datagan,children 0-5 years old,71,57.7,127,67,60,19.4,18.6,20.3
Bayog,Datagan,children 6-12 years old,68,55.3,136,83,53,20.8,23.1,18
Bayog,Datagan,members 13-16 years old,47,38.2,67,32,35,10.2,8.9,11.9
Bayog,Datagan,members 6-16 years old,81,65.9,203,115,88,31,31.9,29.8
Bayog,Datagan,members 10 years old and above,123,100,454,249,205,69.3,69.2,69.5
Bayog,Datagan,members of the labor force,119,96.7,143,133,10,21.8,36.9,3.4
Bayog,Depase,population,208,-,1044,539,505,100,51.6,48.4
Bayog,Depase,average household size,5,-,-,-,-,-,-,-
Bayog,Depase,children 0-5 years old,102,49,147,63,84,14.1,11.7,16.6
Bayog,Depase,children 6-12 years old,120,57.7,224,128,96,21.5,23.7,19
Bayog,Depase,members 13-16 years old,89,42.8,116,56,60,11.1,10.4,11.9
Bayog,Depase,members 6-16 years old,140,67.3,340,184,156,32.6,34.1,30.9
Bayog,Depase,members 10 years old and above,208,100,771,400,371,73.9,74.2,73.5
Bayog,Depase,members of the labor force,203,97.6,272,238,34,26.1,44.2,6.7
Bayog,Deporehan,population,111,-,569,291,278,100,51.1,48.9
Bayog,Deporehan,average household size,5,-,-,-,-,-,-,-
Bayog,Deporehan,children 0-5 years old,59,53.2,95,51,44,16.7,17.5,15.8
Bayog,Deporehan,children 6-12 years old,65,58.6,129,56,73,22.7,19.2,26.3
Bayog,Deporehan,members 13-16 years old,43,38.7,62,31,31,10.9,10.7,11.2
Bayog,Deporehan,members 6-16 years old,72,64.9,191,87,104,33.6,29.9,37.4
Bayog,Deporehan,members 10 years old and above,111,100,403,207,196,70.8,71.1,70.5
Bayog,Deporehan,members of the labor force,108,97.3,141,128,13,24.8,44,4.7
Bayog,Depore,population,192,-,930,480,449,100,51.6,48.3
Bayog,Depore,average household size,5,-,-,-,-,-,-,-
Bayog,Depore,children 0-5 years old,100,52.1,150,77,73,16.1,16,16.3
Bayog,Depore,children 6-12 years old,109,56.8,182,83,99,19.6,17.3,22
